
Begin Step 0, Time: 0, Systemstep: 0

Begin Step 1, Time: 0.00146484, Systemstep: 0.00146484

Begin Step 2, Time: 0.00292969, Systemstep: 0.00146484

Begin Step 3, Time: 0.00439453, Systemstep: 0.00146484

Begin Step 4, Time: 0.00585938, Systemstep: 0.00146484

Begin Step 5, Time: 0.00732422, Systemstep: 0.00146484

Begin Step 6, Time: 0.00878906, Systemstep: 0.00146484

Begin Step 7, Time: 0.0102539, Systemstep: 0.00146484

Begin Step 8, Time: 0.0117188, Systemstep: 0.00146484

Begin Step 9, Time: 0.0131836, Systemstep: 0.00146484

Begin Step 10, Time: 0.0146484, Systemstep: 0.00146484

Begin Step 11, Time: 0.0161133, Systemstep: 0.00146484

Begin Step 12, Time: 0.0175781, Systemstep: 0.00146484

Begin Step 13, Time: 0.019043, Systemstep: 0.00146484

Begin Step 14, Time: 0.0205078, Systemstep: 0.00146484

Begin Step 15, Time: 0.0219727, Systemstep: 0.00146484

Begin Step 16, Time: 0.0234375, Systemstep: 0.00146484

Begin Step 17, Time: 0.0249023, Systemstep: 0.00146484

Begin Step 18, Time: 0.0263672, Systemstep: 0.00146484

Begin Step 19, Time: 0.027832, Systemstep: 0.00146484

Begin Step 20, Time: 0.0292969, Systemstep: 0.00146484

Begin Step 21, Time: 0.0307617, Systemstep: 0.00146484

Begin Step 22, Time: 0.0322266, Systemstep: 0.00146484

Begin Step 23, Time: 0.0336914, Systemstep: 0.00146484

Begin Step 24, Time: 0.0351562, Systemstep: 0.00146484

Begin Step 25, Time: 0.0366211, Systemstep: 0.00146484

Begin Step 26, Time: 0.0380859, Systemstep: 0.00146484

Begin Step 27, Time: 0.0395508, Systemstep: 0.00146484

Begin Step 28, Time: 0.0410156, Systemstep: 0.00146484

Begin Step 29, Time: 0.0424805, Systemstep: 0.00146484

Begin Step 30, Time: 0.0439453, Systemstep: 0.00146484

Begin Step 31, Time: 0.0454102, Systemstep: 0.00146484

Begin Step 32, Time: 0.046875, Systemstep: 0.00146484

Begin Step 33, Time: 0.0483398, Systemstep: 0.00146484

Begin Step 34, Time: 0.0498047, Systemstep: 0.00146484

